## FlyBase Signaling Pathways report
## Generated: Mon Nov 24 14:13:21 2025
## Using chado datasource: dbi:Pg:dbname=fb_2025_05_reporting;host=flysql25;port=5432

## Where groups are arranged into hierarchies, note that:
## i) the member genes are only associated with the terminal subgroups
## ii) the immediate parent of any subgroup is identified in the 'Parent_FB_group_id' and 'Parent_FB_group_symbol' columns

# FB_group_id	FB_group_symbol	FB_group_name	Parent_FB_group_id	Parent_FB_group_symbol	Group_member_FB_gene_id	Group_member_FB_gene_symbol
FBgg0000934	TORS	TORSO SIGNALING PATHWAY				
FBgg0000892	WNT-TCFP	POSITIVE REGULATORS OF WNT-TCF SIGNALING PATHWAY	FBgg0000889	WNT-TCF	FBgn0250823	gish
FBgg0000892	WNT-TCFP	POSITIVE REGULATORS OF WNT-TCF SIGNALING PATHWAY	FBgg0000889	WNT-TCF	FBgn0003134	Pp1alpha-96A
FBgg0000892	WNT-TCFP	POSITIVE REGULATORS OF WNT-TCF SIGNALING PATHWAY	FBgg0000889	WNT-TCF	FBgn0016756	Usp47
FBgg0000892	WNT-TCFP	POSITIVE REGULATORS OF WNT-TCF SIGNALING PATHWAY	FBgg0000889	WNT-TCF	FBgn0004177	mts
FBgg0000892	WNT-TCFP	POSITIVE REGULATORS OF WNT-TCF SIGNALING PATHWAY	FBgg0000889	WNT-TCF	FBgn0020496	CtBP
FBgg0000892	WNT-TCFP	POSITIVE REGULATORS OF WNT-TCF SIGNALING PATHWAY	FBgg0000889	WNT-TCF	FBgn0011481	Ssdp
FBgg0000892	WNT-TCFP	POSITIVE REGULATORS OF WNT-TCF SIGNALING PATHWAY	FBgg0000889	WNT-TCF	FBgn0032378	CycY
FBgg0000892	WNT-TCFP	POSITIVE REGULATORS OF WNT-TCF SIGNALING PATHWAY	FBgg0000889	WNT-TCF	FBgn0001324	kto
FBgg0000892	WNT-TCFP	POSITIVE REGULATORS OF WNT-TCF SIGNALING PATHWAY	FBgg0000889	WNT-TCF	FBgn0000711	flw
FBgg0000892	WNT-TCFP	POSITIVE REGULATORS OF WNT-TCF SIGNALING PATHWAY	FBgg0000889	WNT-TCF	FBgn0027549	Nulp1
FBgg0000892	WNT-TCFP	POSITIVE REGULATORS OF WNT-TCF SIGNALING PATHWAY	FBgg0000889	WNT-TCF	FBgn0037657	hyx
FBgg0000892	WNT-TCFP	POSITIVE REGULATORS OF WNT-TCF SIGNALING PATHWAY	FBgg0000889	WNT-TCF	FBgn0262461	mir-315
FBgg0000892	WNT-TCFP	POSITIVE REGULATORS OF WNT-TCF SIGNALING PATHWAY	FBgg0000889	WNT-TCF	FBgn0035153	ebd1
FBgg0000892	WNT-TCFP	POSITIVE REGULATORS OF WNT-TCF SIGNALING PATHWAY	FBgg0000889	WNT-TCF	FBgn0041604	dlp
FBgg0000892	WNT-TCFP	POSITIVE REGULATORS OF WNT-TCF SIGNALING PATHWAY	FBgg0000889	WNT-TCF	FBgn0027508	Tnks
FBgg0000892	WNT-TCFP	POSITIVE REGULATORS OF WNT-TCF SIGNALING PATHWAY	FBgg0000889	WNT-TCF	FBgn0029970	Nek2
FBgg0000892	WNT-TCFP	POSITIVE REGULATORS OF WNT-TCF SIGNALING PATHWAY	FBgg0000889	WNT-TCF	FBgn0037734	trbd
FBgg0000892	WNT-TCFP	POSITIVE REGULATORS OF WNT-TCF SIGNALING PATHWAY	FBgg0000889	WNT-TCF	FBgn0261617	nej
FBgg0000892	WNT-TCFP	POSITIVE REGULATORS OF WNT-TCF SIGNALING PATHWAY	FBgg0000889	WNT-TCF	FBgn0032446	IFT43
FBgg0000892	WNT-TCFP	POSITIVE REGULATORS OF WNT-TCF SIGNALING PATHWAY	FBgg0000889	WNT-TCF	FBgn0034903	sona
FBgg0001195	IMD-C	IMD SIGNALING PATHWAY CORE COMPONENTS	FBgg0001194	IMD	FBgn0041205	key
FBgg0001195	IMD-C	IMD SIGNALING PATHWAY CORE COMPONENTS	FBgg0001194	IMD	FBgn0038928	Fadd
FBgg0001195	IMD-C	IMD SIGNALING PATHWAY CORE COMPONENTS	FBgg0001194	IMD	FBgn0035976	PGRP-LC
FBgg0001195	IMD-C	IMD SIGNALING PATHWAY CORE COMPONENTS	FBgg0001194	IMD	FBgn0000229	bsk
FBgg0001195	IMD-C	IMD SIGNALING PATHWAY CORE COMPONENTS	FBgg0001194	IMD	FBgn0086358	Tab2
FBgg0001195	IMD-C	IMD SIGNALING PATHWAY CORE COMPONENTS	FBgg0001194	IMD	FBgn0035601	Uev1A
FBgg0001195	IMD-C	IMD SIGNALING PATHWAY CORE COMPONENTS	FBgg0001194	IMD	FBgn0001291	Jra
FBgg0001195	IMD-C	IMD SIGNALING PATHWAY CORE COMPONENTS	FBgg0001194	IMD	FBgn0013983	imd
FBgg0001195	IMD-C	IMD SIGNALING PATHWAY CORE COMPONENTS	FBgg0001194	IMD	FBgn0030695	PGRP-LE
FBgg0001195	IMD-C	IMD SIGNALING PATHWAY CORE COMPONENTS	FBgg0001194	IMD	FBgn0020381	Dredd
FBgg0001195	IMD-C	IMD SIGNALING PATHWAY CORE COMPONENTS	FBgg0001194	IMD	FBgn0000173	ben
FBgg0001195	IMD-C	IMD SIGNALING PATHWAY CORE COMPONENTS	FBgg0001194	IMD	FBgn0014018	Rel
FBgg0001195	IMD-C	IMD SIGNALING PATHWAY CORE COMPONENTS	FBgg0001194	IMD	FBgn0015247	Diap2
FBgg0001195	IMD-C	IMD SIGNALING PATHWAY CORE COMPONENTS	FBgg0001194	IMD	FBgn0011217	eff
FBgg0001195	IMD-C	IMD SIGNALING PATHWAY CORE COMPONENTS	FBgg0001194	IMD	FBgn0038197	foxo
FBgg0001195	IMD-C	IMD SIGNALING PATHWAY CORE COMPONENTS	FBgg0001194	IMD	FBgn0024222	IKKbeta
FBgg0001195	IMD-C	IMD SIGNALING PATHWAY CORE COMPONENTS	FBgg0001194	IMD	FBgn0001297	kay
FBgg0001195	IMD-C	IMD SIGNALING PATHWAY CORE COMPONENTS	FBgg0001194	IMD	FBgn0010303	hep
FBgg0001195	IMD-C	IMD SIGNALING PATHWAY CORE COMPONENTS	FBgg0001194	IMD	FBgn0026323	Tak1
FBgg0001058	TL-NFC	TOLL-NF-kappaB SIGNALING PATHWAY CORE COMPONENTS	FBgg0001059	TL-CAN	FBgn0033402	Myd88
FBgg0001058	TL-NFC	TOLL-NF-kappaB SIGNALING PATHWAY CORE COMPONENTS	FBgg0001059	TL-CAN	FBgn0001990	wek
FBgg0001058	TL-NFC	TOLL-NF-kappaB SIGNALING PATHWAY CORE COMPONENTS	FBgg0001059	TL-CAN	FBgn0011274	Dif
FBgg0001058	TL-NFC	TOLL-NF-kappaB SIGNALING PATHWAY CORE COMPONENTS	FBgg0001059	TL-CAN	FBgn0034476	Toll-7
FBgg0001058	TL-NFC	TOLL-NF-kappaB SIGNALING PATHWAY CORE COMPONENTS	FBgg0001059	TL-CAN	FBgn0003882	tub
FBgg0001058	TL-NFC	TOLL-NF-kappaB SIGNALING PATHWAY CORE COMPONENTS	FBgg0001059	TL-CAN	FBgn0035379	spz5
FBgg0001058	TL-NFC	TOLL-NF-kappaB SIGNALING PATHWAY CORE COMPONENTS	FBgg0001059	TL-CAN	FBgn0260632	dl
FBgg0001058	TL-NFC	TOLL-NF-kappaB SIGNALING PATHWAY CORE COMPONENTS	FBgg0001059	TL-CAN	FBgn0262473	Tl
FBgg0001058	TL-NFC	TOLL-NF-kappaB SIGNALING PATHWAY CORE COMPONENTS	FBgg0001059	TL-CAN	FBgn0003495	spz
FBgg0001058	TL-NFC	TOLL-NF-kappaB SIGNALING PATHWAY CORE COMPONENTS	FBgg0001059	TL-CAN	FBgn0261526	NT1
FBgg0001058	TL-NFC	TOLL-NF-kappaB SIGNALING PATHWAY CORE COMPONENTS	FBgg0001059	TL-CAN	FBgn0026760	Tehao
FBgg0001058	TL-NFC	TOLL-NF-kappaB SIGNALING PATHWAY CORE COMPONENTS	FBgg0001059	TL-CAN	FBgn0010441	pll
FBgg0001792	CGAS-STING	CGAS-STING SIGNALING PATHWAY				
FBgg0000942	SEVL-N	NEGATIVE REGULATORS OF SEVENLESS SIGNALING PATHWAY	FBgg0000941	SEVL	FBgn0041184	Socs36E
FBgg0000942	SEVL-N	NEGATIVE REGULATORS OF SEVENLESS SIGNALING PATHWAY	FBgg0000941	SEVL	FBgn0004390	RasGAP1
FBgg0000942	SEVL-N	NEGATIVE REGULATORS OF SEVENLESS SIGNALING PATHWAY	FBgg0000941	SEVL	FBgn0003416	sl
FBgg0000942	SEVL-N	NEGATIVE REGULATORS OF SEVENLESS SIGNALING PATHWAY	FBgg0000941	SEVL	FBgn0004876	cdi
FBgg0000942	SEVL-N	NEGATIVE REGULATORS OF SEVENLESS SIGNALING PATHWAY	FBgg0000941	SEVL	FBgn0086361	alph
FBgg0000981	HH-SMOP	POSITIVE REGULATORS OF HEDGEHOG SIGNALING PATHWAY	FBgg0000978	HH-SMO	FBgn0259212	cno
FBgg0000981	HH-SMOP	POSITIVE REGULATORS OF HEDGEHOG SIGNALING PATHWAY	FBgg0000978	HH-SMO	FBgn0261617	nej
FBgg0000981	HH-SMOP	POSITIVE REGULATORS OF HEDGEHOG SIGNALING PATHWAY	FBgg0000978	HH-SMO	FBgn0003390	shf
FBgg0000981	HH-SMOP	POSITIVE REGULATORS OF HEDGEHOG SIGNALING PATHWAY	FBgg0000978	HH-SMO	FBgn0010602	lwr
FBgg0000981	HH-SMOP	POSITIVE REGULATORS OF HEDGEHOG SIGNALING PATHWAY	FBgg0000978	HH-SMO	FBgn0264270	Sxl
FBgg0000981	HH-SMOP	POSITIVE REGULATORS OF HEDGEHOG SIGNALING PATHWAY	FBgg0000978	HH-SMO	FBgn0041604	dlp
FBgg0000981	HH-SMOP	POSITIVE REGULATORS OF HEDGEHOG SIGNALING PATHWAY	FBgg0000978	HH-SMO	FBgn0044028	Notum
FBgg0000981	HH-SMOP	POSITIVE REGULATORS OF HEDGEHOG SIGNALING PATHWAY	FBgg0000978	HH-SMO	FBgn0037657	hyx
FBgg0000981	HH-SMOP	POSITIVE REGULATORS OF HEDGEHOG SIGNALING PATHWAY	FBgg0000978	HH-SMO	FBgn0030366	Usp7
FBgg0000981	HH-SMOP	POSITIVE REGULATORS OF HEDGEHOG SIGNALING PATHWAY	FBgg0000978	HH-SMO	FBgn0260970	Ubr3
FBgg0000981	HH-SMOP	POSITIVE REGULATORS OF HEDGEHOG SIGNALING PATHWAY	FBgg0000978	HH-SMO	FBgn0004177	mts
FBgg0000981	HH-SMOP	POSITIVE REGULATORS OF HEDGEHOG SIGNALING PATHWAY	FBgg0000978	HH-SMO	FBgn0262426	mir-283
FBgg0000981	HH-SMOP	POSITIVE REGULATORS OF HEDGEHOG SIGNALING PATHWAY	FBgg0000978	HH-SMO	FBgn0250823	gish
FBgg0000981	HH-SMOP	POSITIVE REGULATORS OF HEDGEHOG SIGNALING PATHWAY	FBgg0000978	HH-SMO	FBgn0029006	Smurf
FBgg0000981	HH-SMOP	POSITIVE REGULATORS OF HEDGEHOG SIGNALING PATHWAY	FBgg0000978	HH-SMO	FBgn0000158	bam
FBgg0000981	HH-SMOP	POSITIVE REGULATORS OF HEDGEHOG SIGNALING PATHWAY	FBgg0000978	HH-SMO	FBgn0003612	Su(var)2-10
FBgg0000981	HH-SMOP	POSITIVE REGULATORS OF HEDGEHOG SIGNALING PATHWAY	FBgg0000978	HH-SMO	FBgn0264922	Sumo
FBgg0000981	HH-SMOP	POSITIVE REGULATORS OF HEDGEHOG SIGNALING PATHWAY	FBgg0000978	HH-SMO	FBgn0004889	tws
FBgg0000981	HH-SMOP	POSITIVE REGULATORS OF HEDGEHOG SIGNALING PATHWAY	FBgg0000978	HH-SMO	FBgn0026192	par-6
FBgg0000981	HH-SMOP	POSITIVE REGULATORS OF HEDGEHOG SIGNALING PATHWAY	FBgg0000978	HH-SMO	FBgn0263930	dally
FBgg0000981	HH-SMOP	POSITIVE REGULATORS OF HEDGEHOG SIGNALING PATHWAY	FBgg0000978	HH-SMO	FBgn0024921	Tnpo
FBgg0000981	HH-SMOP	POSITIVE REGULATORS OF HEDGEHOG SIGNALING PATHWAY	FBgg0000978	HH-SMO	FBgn0033886	Rpn13
FBgg0000981	HH-SMOP	POSITIVE REGULATORS OF HEDGEHOG SIGNALING PATHWAY	FBgg0000978	HH-SMO	FBgn0262370	mir-7
FBgg0000981	HH-SMOP	POSITIVE REGULATORS OF HEDGEHOG SIGNALING PATHWAY	FBgg0000978	HH-SMO	FBgn0027492	wdb
FBgg0000981	HH-SMOP	POSITIVE REGULATORS OF HEDGEHOG SIGNALING PATHWAY	FBgg0000978	HH-SMO	FBgn0002413	dco
FBgg0000981	HH-SMOP	POSITIVE REGULATORS OF HEDGEHOG SIGNALING PATHWAY	FBgg0000978	HH-SMO	FBgn0264492	CkIIalpha
FBgg0000981	HH-SMOP	POSITIVE REGULATORS OF HEDGEHOG SIGNALING PATHWAY	FBgg0000978	HH-SMO	FBgn0038862	Usp8
FBgg0000981	HH-SMOP	POSITIVE REGULATORS OF HEDGEHOG SIGNALING PATHWAY	FBgg0000978	HH-SMO	FBgn0259228	C3G
FBgg0000981	HH-SMOP	POSITIVE REGULATORS OF HEDGEHOG SIGNALING PATHWAY	FBgg0000978	HH-SMO	FBgn0011327	Uch-L5
FBgg0000981	HH-SMOP	POSITIVE REGULATORS OF HEDGEHOG SIGNALING PATHWAY	FBgg0000978	HH-SMO	FBgn0260798	Gprk1
FBgg0000981	HH-SMOP	POSITIVE REGULATORS OF HEDGEHOG SIGNALING PATHWAY	FBgg0000978	HH-SMO	FBgn0035142	Hipk
FBgg0000981	HH-SMOP	POSITIVE REGULATORS OF HEDGEHOG SIGNALING PATHWAY	FBgg0000978	HH-SMO	FBgn0000273	Pka-C1
FBgg0000981	HH-SMOP	POSITIVE REGULATORS OF HEDGEHOG SIGNALING PATHWAY	FBgg0000978	HH-SMO	FBgn0261988	Gprk2
FBgg0000981	HH-SMOP	POSITIVE REGULATORS OF HEDGEHOG SIGNALING PATHWAY	FBgg0000978	HH-SMO	FBgn0040271	Sulf1
FBgg0000981	HH-SMOP	POSITIVE REGULATORS OF HEDGEHOG SIGNALING PATHWAY	FBgg0000978	HH-SMO	FBgn0262395	mir-12
FBgg0000981	HH-SMOP	POSITIVE REGULATORS OF HEDGEHOG SIGNALING PATHWAY	FBgg0000978	HH-SMO	FBgn0284408	trol
FBgg0000981	HH-SMOP	POSITIVE REGULATORS OF HEDGEHOG SIGNALING PATHWAY	FBgg0000978	HH-SMO	FBgn0259243	Pka-R1
FBgg0000981	HH-SMOP	POSITIVE REGULATORS OF HEDGEHOG SIGNALING PATHWAY	FBgg0000978	HH-SMO	FBgn0267350	Pi4KIIIalpha
FBgg0000981	HH-SMOP	POSITIVE REGULATORS OF HEDGEHOG SIGNALING PATHWAY	FBgg0000978	HH-SMO	FBgn0004636	Rap1
FBgg0000981	HH-SMOP	POSITIVE REGULATORS OF HEDGEHOG SIGNALING PATHWAY	FBgg0000978	HH-SMO	FBgn0261854	aPKC
FBgg0000981	HH-SMOP	POSITIVE REGULATORS OF HEDGEHOG SIGNALING PATHWAY	FBgg0000978	HH-SMO	FBgn0015024	CkIalpha
FBgg0000981	HH-SMOP	POSITIVE REGULATORS OF HEDGEHOG SIGNALING PATHWAY	FBgg0000978	HH-SMO	FBgn0030556	mRNA-cap
FBgg0000981	HH-SMOP	POSITIVE REGULATORS OF HEDGEHOG SIGNALING PATHWAY	FBgg0000978	HH-SMO	FBgn0000239	bur
FBgg0000912	SWH-P	POSITIVE REGULATORS OF HIPPO SIGNALING PATHWAY	FBgg0000917	SWH	FBgn0284247	ds
FBgg0000912	SWH-P	POSITIVE REGULATORS OF HIPPO SIGNALING PATHWAY	FBgg0000917	SWH	FBgn0027587	Prp4k
FBgg0000912	SWH-P	POSITIVE REGULATORS OF HIPPO SIGNALING PATHWAY	FBgg0000917	SWH	FBgn0000273	Pka-C1
FBgg0000912	SWH-P	POSITIVE REGULATORS OF HIPPO SIGNALING PATHWAY	FBgg0000917	SWH	FBgn0031799	Pez
FBgg0000912	SWH-P	POSITIVE REGULATORS OF HIPPO SIGNALING PATHWAY	FBgg0000917	SWH	FBgn0005649	Rox8
FBgg0000912	SWH-P	POSITIVE REGULATORS OF HIPPO SIGNALING PATHWAY	FBgg0000917	SWH	FBgn0020238	14-3-3epsilon
FBgg0000912	SWH-P	POSITIVE REGULATORS OF HIPPO SIGNALING PATHWAY	FBgg0000917	SWH	FBgn0037980	DCAF12
FBgg0000912	SWH-P	POSITIVE REGULATORS OF HIPPO SIGNALING PATHWAY	FBgg0000917	SWH	FBgn0262081	Csk
FBgg0000912	SWH-P	POSITIVE REGULATORS OF HIPPO SIGNALING PATHWAY	FBgg0000917	SWH	FBgn0033260	Cul4
FBgg0000912	SWH-P	POSITIVE REGULATORS OF HIPPO SIGNALING PATHWAY	FBgg0000917	SWH	FBgn0267487	Ptp61F
FBgg0000912	SWH-P	POSITIVE REGULATORS OF HIPPO SIGNALING PATHWAY	FBgg0000917	SWH	FBgn0262432	mir-8
FBgg0000912	SWH-P	POSITIVE REGULATORS OF HIPPO SIGNALING PATHWAY	FBgg0000917	SWH	FBgn0035142	Hipk
FBgg0000912	SWH-P	POSITIVE REGULATORS OF HIPPO SIGNALING PATHWAY	FBgg0000917	SWH	FBgn0004907	14-3-3zeta
FBgg0000912	SWH-P	POSITIVE REGULATORS OF HIPPO SIGNALING PATHWAY	FBgg0000917	SWH	FBgn0020279	lig
FBgg0000912	SWH-P	POSITIVE REGULATORS OF HIPPO SIGNALING PATHWAY	FBgg0000917	SWH	FBgn0002413	dco
FBgg0000912	SWH-P	POSITIVE REGULATORS OF HIPPO SIGNALING PATHWAY	FBgg0000917	SWH	FBgn0262127	kibra
FBgg0000912	SWH-P	POSITIVE REGULATORS OF HIPPO SIGNALING PATHWAY	FBgg0000917	SWH	FBgn0010909	msn
FBgg0000912	SWH-P	POSITIVE REGULATORS OF HIPPO SIGNALING PATHWAY	FBgg0000917	SWH	FBgn0263395	hppy
FBgg0000912	SWH-P	POSITIVE REGULATORS OF HIPPO SIGNALING PATHWAY	FBgg0000917	SWH	FBgn0038385	Fbxl7
FBgg0000912	SWH-P	POSITIVE REGULATORS OF HIPPO SIGNALING PATHWAY	FBgg0000917	SWH	FBgn0262370	mir-7
FBgg0000912	SWH-P	POSITIVE REGULATORS OF HIPPO SIGNALING PATHWAY	FBgg0000917	SWH	FBgn0290397	Tsc1
FBgg0000912	SWH-P	POSITIVE REGULATORS OF HIPPO SIGNALING PATHWAY	FBgg0000917	SWH	FBgn0033539	Git
FBgg0000912	SWH-P	POSITIVE REGULATORS OF HIPPO SIGNALING PATHWAY	FBgg0000917	SWH	FBgn0015803	RtGEF
FBgg0000912	SWH-P	POSITIVE REGULATORS OF HIPPO SIGNALING PATHWAY	FBgg0000917	SWH	FBgn0029687	Vap33
FBgg0000912	SWH-P	POSITIVE REGULATORS OF HIPPO SIGNALING PATHWAY	FBgg0000917	SWH	FBgn0004583	ex
FBgg0000912	SWH-P	POSITIVE REGULATORS OF HIPPO SIGNALING PATHWAY	FBgg0000917	SWH	FBgn0010441	pll
FBgg0000912	SWH-P	POSITIVE REGULATORS OF HIPPO SIGNALING PATHWAY	FBgg0000917	SWH	FBgn0001218	Hsc70-3
FBgg0000912	SWH-P	POSITIVE REGULATORS OF HIPPO SIGNALING PATHWAY	FBgg0000917	SWH	FBgn0262614	pyd
FBgg0000912	SWH-P	POSITIVE REGULATORS OF HIPPO SIGNALING PATHWAY	FBgg0000917	SWH	FBgn0034646	Rae1
FBgg0000912	SWH-P	POSITIVE REGULATORS OF HIPPO SIGNALING PATHWAY	FBgg0000917	SWH	FBgn0002121	l(2)gl
FBgg0000912	SWH-P	POSITIVE REGULATORS OF HIPPO SIGNALING PATHWAY	FBgg0000917	SWH	FBgn0001075	ft
FBgg0000912	SWH-P	POSITIVE REGULATORS OF HIPPO SIGNALING PATHWAY	FBgg0000917	SWH	FBgn0031030	Tao
FBgg0000912	SWH-P	POSITIVE REGULATORS OF HIPPO SIGNALING PATHWAY	FBgg0000917	SWH	FBgn0003892	ptc
FBgg0000912	SWH-P	POSITIVE REGULATORS OF HIPPO SIGNALING PATHWAY	FBgg0000917	SWH	FBgn0037856	Leash
FBgg0000912	SWH-P	POSITIVE REGULATORS OF HIPPO SIGNALING PATHWAY	FBgg0000917	SWH	FBgn0086384	Mer
FBgg0000912	SWH-P	POSITIVE REGULATORS OF HIPPO SIGNALING PATHWAY	FBgg0000917	SWH	FBgn0029903	pod1
FBgg0000912	SWH-P	POSITIVE REGULATORS OF HIPPO SIGNALING PATHWAY	FBgg0000917	SWH	FBgn0032221	Schip1
FBgg0000912	SWH-P	POSITIVE REGULATORS OF HIPPO SIGNALING PATHWAY	FBgg0000917	SWH	FBgn0041789	Pax
FBgg0000912	SWH-P	POSITIVE REGULATORS OF HIPPO SIGNALING PATHWAY	FBgg0000917	SWH	FBgn0259685	crb
FBgg0000912	SWH-P	POSITIVE REGULATORS OF HIPPO SIGNALING PATHWAY	FBgg0000917	SWH	FBgn0000547	ed
FBgg0001091	ACT-N	NEGATIVE REGULATORS OF ACTIVIN SIGNALING PATHWAY	FBgg0001093	ACT-SMAD2	FBgn0259878	Fs
FBgg0001091	ACT-N	NEGATIVE REGULATORS OF ACTIVIN SIGNALING PATHWAY	FBgg0001093	ACT-SMAD2	FBgn0262323	mir-252
FBgg0000979	HH-SMOC	HEDGEHOG SIGNALING PATHWAY CORE COMPONENTS	FBgg0000978	HH-SMO	FBgn0031872	ihog
FBgg0000979	HH-SMOC	HEDGEHOG SIGNALING PATHWAY CORE COMPONENTS	FBgg0000978	HH-SMO	FBgn0001079	fu
FBgg0000979	HH-SMOC	HEDGEHOG SIGNALING PATHWAY CORE COMPONENTS	FBgg0000978	HH-SMO	FBgn0003444	smo
FBgg0000979	HH-SMOC	HEDGEHOG SIGNALING PATHWAY CORE COMPONENTS	FBgg0000978	HH-SMO	FBgn0004859	ci
FBgg0000979	HH-SMOC	HEDGEHOG SIGNALING PATHWAY CORE COMPONENTS	FBgg0000978	HH-SMO	FBgn0040388	boi
FBgg0000979	HH-SMOC	HEDGEHOG SIGNALING PATHWAY CORE COMPONENTS	FBgg0000978	HH-SMO	FBgn0000352	cos
FBgg0000979	HH-SMOC	HEDGEHOG SIGNALING PATHWAY CORE COMPONENTS	FBgg0000978	HH-SMO	FBgn0004644	hh
FBgg0001085	BMP-C	BMP SIGNALING PATHWAY CORE COMPONENTS	FBgg0001086	BMP-MAD	FBgn0039914	mav
FBgg0001085	BMP-C	BMP SIGNALING PATHWAY CORE COMPONENTS	FBgg0001086	BMP-MAD	FBgn0003396	shn
FBgg0001085	BMP-C	BMP SIGNALING PATHWAY CORE COMPONENTS	FBgg0001086	BMP-MAD	FBgn0005590	scw
FBgg0001085	BMP-C	BMP SIGNALING PATHWAY CORE COMPONENTS	FBgg0001086	BMP-MAD	FBgn0024234	gbb
FBgg0001085	BMP-C	BMP SIGNALING PATHWAY CORE COMPONENTS	FBgg0001086	BMP-MAD	FBgn0003169	put
FBgg0001085	BMP-C	BMP SIGNALING PATHWAY CORE COMPONENTS	FBgg0001086	BMP-MAD	FBgn0024179	wit
FBgg0001085	BMP-C	BMP SIGNALING PATHWAY CORE COMPONENTS	FBgg0001086	BMP-MAD	FBgn0288966	Med
FBgg0001085	BMP-C	BMP SIGNALING PATHWAY CORE COMPONENTS	FBgg0001086	BMP-MAD	FBgn0000490	dpp
FBgg0001085	BMP-C	BMP SIGNALING PATHWAY CORE COMPONENTS	FBgg0001086	BMP-MAD	FBgn0003317	sax
FBgg0001085	BMP-C	BMP SIGNALING PATHWAY CORE COMPONENTS	FBgg0001086	BMP-MAD	FBgn0011648	Mad
FBgg0001085	BMP-C	BMP SIGNALING PATHWAY CORE COMPONENTS	FBgg0001086	BMP-MAD	FBgn0003716	tkv
FBgg0001094	BMP-P	POSITIVE REGULATORS OF BMP SIGNALING PATHWAY	FBgg0001086	BMP-MAD	FBgn0026402	NiPp1
FBgg0001094	BMP-P	POSITIVE REGULATORS OF BMP SIGNALING PATHWAY	FBgg0001086	BMP-MAD	FBgn0050418	nord
FBgg0001094	BMP-P	POSITIVE REGULATORS OF BMP SIGNALING PATHWAY	FBgg0001086	BMP-MAD	FBgn0037015	cmpy
FBgg0001094	BMP-P	POSITIVE REGULATORS OF BMP SIGNALING PATHWAY	FBgg0001086	BMP-MAD	FBgn0265048	cv-d
FBgg0001094	BMP-P	POSITIVE REGULATORS OF BMP SIGNALING PATHWAY	FBgg0001086	BMP-MAD	FBgn0003719	tld
FBgg0001094	BMP-P	POSITIVE REGULATORS OF BMP SIGNALING PATHWAY	FBgg0001086	BMP-MAD	FBgn0005632	faf
FBgg0001094	BMP-P	POSITIVE REGULATORS OF BMP SIGNALING PATHWAY	FBgg0001086	BMP-MAD	FBgn0004885	tok
FBgg0001094	BMP-P	POSITIVE REGULATORS OF BMP SIGNALING PATHWAY	FBgg0001086	BMP-MAD	FBgn0028582	lqf
FBgg0001094	BMP-P	POSITIVE REGULATORS OF BMP SIGNALING PATHWAY	FBgg0001086	BMP-MAD	FBgn0000394	cv
FBgg0001094	BMP-P	POSITIVE REGULATORS OF BMP SIGNALING PATHWAY	FBgg0001086	BMP-MAD	FBgn0261952	srw
FBgg0001094	BMP-P	POSITIVE REGULATORS OF BMP SIGNALING PATHWAY	FBgg0001086	BMP-MAD	FBgn0028429	I-2
FBgg0001094	BMP-P	POSITIVE REGULATORS OF BMP SIGNALING PATHWAY	FBgg0001086	BMP-MAD	FBgn0000395	cv-2
FBgg0001094	BMP-P	POSITIVE REGULATORS OF BMP SIGNALING PATHWAY	FBgg0001086	BMP-MAD	FBgn0266420	Ote
FBgg0001094	BMP-P	POSITIVE REGULATORS OF BMP SIGNALING PATHWAY	FBgg0001086	BMP-MAD	FBgn0263930	dally
FBgg0001094	BMP-P	POSITIVE REGULATORS OF BMP SIGNALING PATHWAY	FBgg0001086	BMP-MAD	FBgn0027539	lili
FBgg0001094	BMP-P	POSITIVE REGULATORS OF BMP SIGNALING PATHWAY	FBgg0001086	BMP-MAD	FBgn0043364	cbt
FBgg0001094	BMP-P	POSITIVE REGULATORS OF BMP SIGNALING PATHWAY	FBgg0001086	BMP-MAD	FBgn0003463	sog
FBgg0001094	BMP-P	POSITIVE REGULATORS OF BMP SIGNALING PATHWAY	FBgg0001086	BMP-MAD	FBgn0015754	Lis-1
FBgg0001094	BMP-P	POSITIVE REGULATORS OF BMP SIGNALING PATHWAY	FBgg0001086	BMP-MAD	FBgn0262169	magu
FBgg0001094	BMP-P	POSITIVE REGULATORS OF BMP SIGNALING PATHWAY	FBgg0001086	BMP-MAD	FBgn0001987	Gli
FBgg0001094	BMP-P	POSITIVE REGULATORS OF BMP SIGNALING PATHWAY	FBgg0001086	BMP-MAD	FBgn0033050	Pngl
FBgg0000941	SEVL	SEVENLESS SIGNALING PATHWAY				
FBgg0000884	JAKSTAT-N	NEGATIVE REGULATORS OF JAK-STAT SIGNALING PATHWAY	FBgg0000883	JAKSTAT	FBgn0020279	lig
FBgg0000884	JAKSTAT-N	NEGATIVE REGULATORS OF JAK-STAT SIGNALING PATHWAY	FBgg0000883	JAKSTAT	FBgn0041184	Socs36E
FBgg0000884	JAKSTAT-N	NEGATIVE REGULATORS OF JAK-STAT SIGNALING PATHWAY	FBgg0000883	JAKSTAT	FBgn0288875	Cul5
FBgg0000884	JAKSTAT-N	NEGATIVE REGULATORS OF JAK-STAT SIGNALING PATHWAY	FBgg0000883	JAKSTAT	FBgn0014018	Rel
